id,bare,rank,type,level
1741,инспектор,1717.0,noun,C1
1742,сообщение,1718.0,noun,C1
1743,стенка,1719.0,noun,C1
1744,подъезд,1720.0,noun,C1
1747,парк,1723.0,noun,C1
1749,вокзал,1725.0,noun,C1
1756,борт,1732.0,noun,C1
1761,взрыв,1737.0,noun,C1
1764,расстояние,1740.0,noun,C1
1765,локоть,1741.0,noun,C1
1766,актёр,1742.0,noun,C1
1769,куртка,1745.0,noun,A2
1775,луна,1751.0,noun,C1
1776,скала,1752.0,noun,C1
1777,экономика,1753.0,noun,C1
1782,песнь,1758.0,noun,C1
1788,шинель,1764.0,noun,C1
1789,лёд,1765.0,noun,C1
1790,волк,1766.0,noun,C1
1791,структура,1767.0,noun,C1
1792,сержант,1768.0,noun,C1
1795,клетка,1771.0,noun,C1
1796,поколение,1772.0,noun,C1
1797,газ,1773.0,noun,C1
1799,пила,1775.0,noun,C1
1800,файл,1776.0,noun,C1
1802,орудие,1778.0,noun,C1
1803,коллега,1779.0,noun,C1
1805,просьба,1781.0,noun,C1
1807,выбор,1783.0,noun,C1
1809,куча,1785.0,noun,C1
1810,корень,1786.0,noun,C1
1812,содержание,1788.0,noun,C1
1813,разница,1789.0,noun,C1
1815,остаток,1791.0,noun,C1
1816,расчёт,1792.0,noun,C1
1823,республика,1799.0,noun,C1
1824,пояс,1800.0,noun,C1
1827,шёпот,1803.0,noun,C1
1828,сентябрь,1804.0,noun,C1
1829,дивизия,1805.0,noun,C1
1830,гриб,1806.0,noun,C1
1831,сравнение,1807.0,noun,C1
1834,бабка,1810.0,noun,C1
1837,реакция,1813.0,noun,C1
1838,тоска,1814.0,noun,C1
1839,посёлок,1815.0,noun,C1
1841,кольцо,1817.0,noun,C1
1847,слой,1823.0,noun,C1
1850,страсть,1826.0,noun,C1
1852,напряжение,1828.0,noun,C1
1855,коммунист,1831.0,noun,C1
1857,участник,1833.0,noun,C1
1858,подруга,1834.0,noun,A2
1859,изба,1835.0,noun,C1
1860,голод,1836.0,noun,C1
1863,пёс,1839.0,noun,C1
1865,истина,1841.0,noun,C1
1866,колонна,1842.0,noun,C1
1869,оборона,1845.0,noun,C1
1875,элемент,1851.0,noun,C1
1876,пиджак,1852.0,noun,C1
1880,крыльцо,1856.0,noun,C1
1881,отличие,1857.0,noun,C1
1882,брюки,1858.0,noun,C1
1884,орден,1860.0,noun,C1
1887,техника,1863.0,noun,C1
1889,канал,1865.0,noun,C1
1890,девчонка,1866.0,noun,C1
1892,крест,1868.0,noun,C1
1894,теория,1870.0,noun,C1
1895,луч,1871.0,noun,C1
1896,молчание,1872.0,noun,C1
1898,батарея,1874.0,noun,C1
1899,устройство,1875.0,noun,C1
1900,палка,1876.0,noun,C1
1902,фонарь,1878.0,noun,C1
1905,контроль,1881.0,noun,C1
1912,ветка,1888.0,noun,C1
1913,влияние,1889.0,noun,C1
1914,разведка,1890.0,noun,C1
1915,справа,1891.0,noun,C1
1917,польза,1892.0,noun,C1
1918,дочка,1893.0,noun,A2
1919,надпись,1894.0,noun,C1
1922,обезьяна,1897.0,noun,C1
1925,склад,1900.0,noun,C1
1927,север,1902.0,noun,C1
1929,печать,1904.0,noun,C1
1930,крестьянин,1905.0,noun,C1
1932,пальто,1907.0,noun,C1
1934,тарелка,1909.0,noun,C1
1935,следствие,1910.0,noun,C1
1944,ракета,1919.0,noun,C1
1947,зарплата,1922.0,noun,C1
1948,топор,1923.0,noun,C1
1949,убийца,1924.0,noun,C1
1951,сущность,1926.0,noun,C1
1955,домик,1930.0,noun,C1
1957,запись,1932.0,noun,C1
1958,пожар,1933.0,noun,C1
1959,пачка,1934.0,noun,C1
1960,ага,1935.0,noun,C1
1964,свидетель,1939.0,noun,C1
1966,пища,1941.0,noun,C1
1967,забота,1942.0,noun,C1
1970,открытие,1945.0,noun,C1
1971,девица,1946.0,noun,C1
1974,вождь,1949.0,noun,C1
1975,одеяло,1950.0,noun,C1
1976,храм,1951.0,noun,C1
1980,пассажир,1955.0,noun,C1
1982,поездка,1957.0,noun,C1
1983,рана,1958.0,noun,C1
1984,верёвка,1959.0,noun,C1
1985,погода,1960.0,noun,A2
1986,двести,1961.0,noun,C1
1988,паспорт,1963.0,noun,C1
1989,привычка,1964.0,noun,C1
1990,холм,1965.0,noun,C1
1997,шоссе,1972.0,noun,C1
1999,поворот,1974.0,noun,C1
2000,восторг,1975.0,noun,C1
2001,мечта,1976.0,noun,C1
2002,кабина,1977.0,noun,C1
2003,картошка,1978.0,noun,C1
2009,борода,1984.0,noun,C1
2012,запас,1987.0,noun,C1
2016,тайга,1991.0,noun,C1
2017,молодец,1992.0,noun,C1
2018,пресса,1993.0,noun,C1
2023,талант,1998.0,noun,C1
2030,дружба,2005.0,noun,C1
2031,памятник,2006.0,noun,C1
2032,помощник,2007.0,noun,C1
2033,шляпа,2008.0,noun,C1
2036,подготовка,2011.0,noun,C1
2037,вызов,2012.0,noun,C1
2044,батальон,2019.0,noun,C1
2047,смена,2022.0,noun,C1
2048,потеря,2023.0,noun,C1
2052,сигнал,2027.0,noun,C1
2054,затылок,2029.0,noun,C1
2055,мотор,2030.0,noun,C1
2057,обида,2032.0,noun,C1
2058,профессия,2033.0,noun,C1
2060,юноша,2035.0,noun,C1
2063,доля,2038.0,noun,C1
2064,воин,2039.0,noun,C1
2065,медведь,2040.0,noun,C1
2066,ведро,2041.0,noun,C1
